id,day_to_predict,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,mood_to_predict
AS14.01,1900-03-24,0.17122381301147013,11.394909509385302,53.41153980934479,43.711555555555556,8.023027777777777,0.0,0.0,18.70882341269841,53.94142592592593,0.0,0.0,30.774,0.0,0.0,0.3333333333333333,0.5,6.466666666666668,89.44905551110453,0.0,6.0
AS14.01,1900-03-25,0.15286079705353992,8.299353849336539,50.89359343057736,66.74401388888889,7.853472222222223,0.0,0.0,12.41686507936508,53.883552540913,0.0,0.0,52.88633333333333,0.0,0.0,0.5333333333333333,0.4,6.3999999999999995,63.81783124009079,0.0,6.75
AS14.01,1900-03-26,0.10669209477038945,9.047925253316434,56.80707484949628,62.55768055555556,9.099527777777778,0.0,0.0,17.677777777777777,64.52239777900824,0.0,0.0,47.247099999999996,0.0,0.0,0.5,0.43333333333333335,6.516666666666667,104.31237533942745,0.0,6.6
AS14.01,1900-03-27,0.0928811633920602,7.823167573980001,54.680242655885856,95.43093452380953,8.389888888888889,0.0,0.0,19.048611111111114,89.21009497620544,0.0,0.0,48.3401,0.0,0.0,0.3666666666666667,0.3666666666666667,6.45,113.41971445372752,0.0,7.0
AS14.01,1900-03-28,0.11973102500989337,8.823213277318807,53.28408026272346,78.40303174603174,11.186111111111112,0.0,0.0,18.602722222222223,88.20487434412435,0.0,0.0,23.976554545454547,0.0,0.0,0.16666666666666666,0.6333333333333334,6.783333333333334,130.89601849510572,0.0,6.4
AS14.01,1900-03-29,0.11883899475876451,32.530908574322666,38.16447615861935,97.50212265512266,0.0,0.0,0.0,21.221166666666665,73.89971243936243,0.0,0.0,26.60402121212121,0.0,0.0,-0.19999999999999998,0.6666666666666666,6.666666666666667,93.17983688666216,0.0,8.0
AS14.01,1900-03-30,0.10780382423602908,37.55275506172154,38.38777768031189,90.3110686868687,0.0,0.0,0.0,23.88051587301587,52.2334782051282,0.0,0.0,23.8245351010101,0.0,0.0,-0.06666666666666665,0.7999999999999999,7.133333333333333,105.06360616144777,0.0,7.5
AS14.01,1900-03-31,0.07099793408684392,37.49794329173052,44.5479014898357,123.5087723905724,0.0,0.0,0.0,24.740015873015867,46.88101666666666,0.0,0.0,31.16474722222222,0.0,0.0,-0.3,0.7833333333333333,7.3,117.83871728569845,0.0,7.4
AS14.01,1900-04-01,0.06260042050226707,16.121146387763158,50.30109378096404,110.28632854030502,0.0,0.0,0.0,20.32518253968254,57.09443055555556,0.0,0.0,25.231141339869282,0.0,0.0,-0.09999999999999999,0.7833333333333333,7.633333333333333,131.00858397923685,0.0,6.0
AS14.01,1900-04-02,0.07934723137255585,10.1956032359026,45.43323381401769,88.43564242919392,0.0,0.0,0.0,17.298861111111112,52.663694191919184,0.0,0.0,23.27952868554829,0.0,0.0,-0.09999999999999999,0.45,6.966666666666666,117.79125404996451,0.0,6.5
